pea,I-Ingredient
egg,I-Ingredient
breast,I-Ingredient
nut,I-Ingredient
choy,I-Ingredient
wine,I-Ingredient
scallion,I-Ingredient
urad,I-Ingredient
baby,O
4-Jan,O
kernel,I-Ingredient
bacon,I-Ingredient
pound,O
6,O
flaky,O
tail,I-Ingredient
inch,O
dash,I-Ingredient
butt,O
Anaheim,O
4-Mar,O
prawn,I-Ingredient
ground,O
liquid,O
food,O
garlic,I-Ingredient
parsley,I-Ingredient
Caesar,O
coffee,I-Ingredient
2,O
rice,I-Ingredient
tomatillo,I-Ingredient
Cajun,O
spinach,I-Ingredient
milk,I-Ingredient
can,O
cucumber,I-Ingredient
eggplant,I-Ingredient
chinese,O
45,O
15,O
cinnamon,I-Ingredient
halibut,I-Ingredient
margarine,I-Ingredient
pancetta,I-Ingredient
fillet,I-Ingredient
blend,O
pandan,I-Ingredient
tiger,I-Ingredient
chicken,I-Ingredient
rack,O
lime,I-Ingredient
cauliflower,I-Ingredient
milliliter,O
squid,I-Ingredient
peach,I-Ingredient
chive,I-Ingredient
asparagus,I-Ingredient
cup,O
teaspoon,O
bay,O
fruit,I-Ingredient
powder,I-Ingredient
jigger,O
curry,I-Ingredient
Chinese,O
ounce,O
stem,O
butternut,I-Ingredient
Delicious,I-Ingredient
salsa,I-Ingredient
water,I-Ingredient
skinless,O
chuck,O
avocado,I-Ingredient
salami,I-Ingredient
lemon,I-Ingredient
boneless,O
ripe,O
Szechuan,O
head,O
spareribs,I-Ingredient
bourbon,I-Ingredient
tequila,I-Ingredient
taiwanese,O
wheat,I-Ingredient
giblet,I-Ingredient
grass,O
bread,I-Ingredient
mussel,I-Ingredient
pinch,O
corn,I-Ingredient
tortilla,O
carrot,I-Ingredient
kale,I-Ingredient
casing,O
roma,I-Ingredient
2-Jan,O
potato,I-Ingredient
stone,O
chocolate,I-Ingredient
tomato,I-Ingredient
Bread,I-Ingredient
piece,O
slice,O
key,O
30,O
cabbage,I-Ingredient
3,O
sirloin,I-Ingredient
dry,O
dill,I-Ingredient
white,O
5,O
tamarind,I-Ingredient
style,O
pepper,I-Ingredient
cub,O
seafood,I-Ingredient
leave,O
whole,O
thyme,I-Ingredient
prosciutto,I-Ingredient
shallot,I-Ingredient
meat,I-Ingredient
oil,I-Ingredient
broccoli,I-Ingredient
pineapple,I-Ingredient
beef,I-Ingredient
4,O
belly,I-Ingredient
package,O
vanilla,I-Ingredient
peanut,I-Ingredient
Brussels,I-Ingredient
cream,I-Ingredient
caper,I-Ingredient
juice,I-Ingredient
cornstarch,I-Ingredient
ghee,I-Ingredient
degree,O
date,O
celery,I-Ingredient
leek,I-Ingredient
french,O
coriander,I-Ingredient
skin,O
tofu,I-Ingredient
zucchini,I-Ingredient
steak,I-Ingredient
salt,I-Ingredient
monosodium,I-Ingredient
container,O
lentil,I-Ingredient
onion,I-Ingredient
olive,I-Ingredient
herb,I-Ingredient
bunch,O
lemonade,I-Ingredient
basil,I-Ingredient
mint,I-Ingredient
bean,I-Ingredient
rib,I-Ingredient
gochujang,I-Ingredient
watermelon,I-Ingredient
sprig,I-Ingredient
clove,O
anise,I-Ingredient
liver,I-Ingredient
roll,O
stalk,I-Ingredient
lettuce,I-Ingredient
green,O
pod,I-Ingredient
root,O
coloring,O
tenderloin,I-Ingredient
8,O
Roma,I-Ingredient
mushroom,I-Ingredient
cheese,I-Ingredient
gizzard,I-Ingredient
pork,I-Ingredient
husk,I-Ingredient
quart,O
Smith,O
apple,I-Ingredient
hickory,I-Ingredient
jar,O
part,O
family,I-Ingredient
sausage,I-Ingredient
tablespoon,O
20,O
half,O
chile,I-Ingredient
1,O
cilantro,I-Ingredient
butter,I-Ingredient
